r,rdfalpha,rdfbeta,rdfdelta,rdfgamma,rdfmodul,rdf141s54e05,rdf141s54e1,rdf141s55e1,rdf141s53e35
2.9,1.02259695,0.971456338,1.52685805,1.09630691,1.03762543,1.62282759,1.11252869,1.07069232,0.905258079
2.91666667,1.03886205,0.746444234,1.44373661,1.11085008,1.01970141,1.51453922,0.973593481,0.984220145,0.899932242
2.93333333,1.04016507,0.721715475,1.33968486,1.19821039,0.967031559,1.51082859,0.90230041,0.943484682,0.883156373
2.95,0.986790125,0.557307608,1.29847424,1.24676032,0.988657162,1.30920761,0.828295917,0.874877055,0.866701098
2.96666667,1.0126611,0.494252678,1.14964543,1.20779448,1.03063932,1.17618395,0.765361201,0.829438705,0.889147496
2.98333333,0.950817623,0.423579643,1.07504047,1.27748025,1.01332619,1.08401457,0.738627969,0.804875902,0.958738011
3,0.954171313,0.37444212,0.957573478,1.32110291,0.947066764,0.968609644,0.755134868,0.873735294,0.990043784
3.01666667,0.986238462,0.388996711,0.888582175,1.26149216,1.03044946,0.88366196,0.756988484,0.888582175,1.03666948
3.03333333,1.03792324,0.410817422,0.837841528,1.27483819,1.12168786,0.799511334,0.830203713,0.867482148,1.00172673
3.05,0.955393068,0.418164598,0.71290545,1.25556877,1.05824874,0.72361197,0.82812264,0.86877717,1.04151553
3.06666667,0.879907501,0.510393863,0.701794248,1.16220936,0.98859516,0.709368439,0.838344518,0.916875819,0.954488377
3.08333333,0.940106971,0.693173293,0.674624956,1.12338251,1.06377269,0.706103044,0.865828423,0.88738761,0.96553249
3.1,0.975551215,0.798122126,0.658403611,1.14567466,1.06905368,0.696122239,0.921579131,0.88165541,0.940453097
3.11666667,0.944555666,1.09227516,0.649976868,1.07477405,1.04356796,0.71443378,0.913655475,0.904071497,0.919738354
3.13333333,0.943446398,1.27624857,0.638913798,1.05624084,1.04883117,0.687048547,0.929425316,0.850496121,0.856649551
3.15,0.998997293,1.46030874,0.651410685,0.99772647,1.12190466,0.748383732,0.938279105,0.912066578,0.870426879
3.16666667,1.04211061,1.65838349,0.682647762,0.974287837,1.27053008,0.799621162,0.982906151,0.94011385,0.895627274
3.18333333,1.02259237,1.69435142,0.693908952,0.916745758,1.43414328,0.836041737,0.968072373,0.892168653,0.903030823
3.2,0.946049823,1.64842778,0.723986428,0.962884947,1.30316101,0.908282807,0.975646739,0.901098988,0.933724771
3.21666667,0.93264734,1.62559114,0.693659668,0.928771156,1.032574,0.94498066,0.964667757,0.879484899,1.04032401
3.23333333,0.917078872,1.55052765,0.754788375,0.924003522,0.785981457,0.983089707,0.972018877,0.890876371,0.978641664
3.25,0.934916151,1.31407518,0.755243245,0.953367225,0.68147971,1.01773951,0.905533953,0.920493049,0.96505744
3.26666667,0.96054234,1.21448691,0.816135602,0.90336835,0.612216823,1.10326,0.925384811,0.940089391,0.995902168
3.28333333,0.936901041,0.995330377,0.812087454,0.944311578,0.58851491,1.04914298,0.95809987,0.931412869,1.00113168
3.3,0.971079542,0.8705184,0.846479705,0.88704723,0.616370957,1.06067869,0.975229221,0.970863804,0.989312204
3.31666667,0.976116924,0.743613316,0.928073962,0.893608668,0.820307107,1.03152757,1.00795942,0.960304492,1.02055981
3.33333333,0.988880298,0.626396417,0.984679955,0.869395027,0.903398361,1.07415416,0.991655116,1.00595264,0.973445696
3.35,0.947877676,0.536419309,0.966400914,0.904427904,0.88014097,1.04864172,1.0168772,1.01864975,0.981437041
3.36666667,1.02674312,0.517887462,1.01901586,0.899906663,0.653378136,1.02276367,1.01500309,1.03666115,1.02875844
3.38333333,0.906360319,0.490957934,1.09477209,0.884073718,0.52086202,1.00988096,1.04506704,1.0205166,0.989390593
3.4,0.992652458,0.524218497,1.13124992,0.895323671,0.49087735,0.964361523,0.993196253,1.04946334,1.00134083
3.41666667,0.964788133,0.549955268,1.16813376,0.860911283,0.510344382,0.972425813,0.949423897,0.971497908,1.07685493
3.43333333,1.02861342,0.55226385,1.16298991,0.848331567,0.474589326,0.950832662,1.00031838,0.957847127,1.07042702
3.45,0.956737038,0.584747839,1.18194977,0.856117885,0.51004158,0.94439079,1.00195662,1.00169766,1.09498437
3.46666667,0.957961089,0.609094245,1.13468066,0.868708185,0.576191862,0.933791046,1.0135331,1.00835288,1.09272353
3.48333333,0.940574331,0.656849452,1.19802246,0.935412959,0.695092631,0.974478111,0.978293608,1.02195287,1.08423565
3.5,0.992862655,0.688975784,1.11057325,0.92570917,0.799385948,0.922136074,0.986005335,1.02819863,1.11860124
3.51666667,0.998635422,0.631518724,1.1019092,0.887037184,0.817000484,0.900688246,1.05604387,1.06552194,1.08399411
3.53333333,0.980225306,0.613560177,1.07151348,0.913131334,0.838026179,0.89591952,1.05871284,1.11484005,1.06925793
3.55,1.05832769,0.578453489,1.06796816,0.864903022,0.921502706,0.92352757,1.03850932,1.0474095,1.0218125
3.56666667,0.990485086,0.644594264,1.06122633,0.907148514,0.988183157,0.897448077,1.03210168,1.08087867,1.00820638
3.58333333,0.992001267,0.596557058,1.0219955,0.920535826,1.05174926,0.899935687,1.03406072,1.0634134,0.971664966
3.6,1.03009842,0.563268551,1.01360669,0.965272543,1.11810221,0.95234973,1.00200337,1.079193,0.980159258
3.61666667,1.05598509,0.63606868,1.04980924,0.955632031,1.14784956,0.934744161,1.04057093,1.02339895,0.972588838
3.63333333,1.04347871,0.723420055,1.0853064,0.927947191,1.25525792,0.92794169,1.01316083,1.05362867,0.9819097
3.65,1.03303273,0.875206406,1.09759465,0.931501843,1.42510043,0.944159245,1.00392936,1.0747352,1.03811043
3.66666667,1.0450473,1.12090308,1.09710576,0.963217979,1.45287313,0.94144943,1.03270184,1.05856337,1.06658641
3.68333333,1.04758898,1.42109353,1.05235568,0.968525363,1.45713887,0.95751806,1.02064737,1.05939149,1.03783334
3.7,0.981561524,1.61942161,1.11096188,0.983194178,1.38305438,0.930649916,1.07606396,1.06348204,1.06950692
3.71666667,1.00083024,1.82355403,1.12043474,0.975119998,1.39184955,0.977621111,1.06643482,1.05034587,1.07427838
3.73333333,1.01074803,2.05053123,1.13393415,1.02239573,1.42412314,0.993823878,1.08516798,1.00576731,1.12901017
3.75,1.04978386,2.29261011,1.07733177,1.02897234,1.42591594,1.00904219,1.09957615,1.0847661,1.10457332
3.76666667,0.992056825,2.40487417,1.07678954,1.01777207,1.41565244,1.04287866,1.11662414,1.10690505,1.09714726
3.78333333,0.997308298,2.33343104,1.06065454,1.00952331,1.41243451,1.06379037,1.12136248,1.07589747,1.06904749
3.8,1.02233976,2.21605487,1.07529438,1.04016075,1.34878604,1.11218877,1.19105831,1.12156729,1.04891063
3.81666667,0.97824794,2.17683499,1.08370988,1.07571757,1.30303142,1.15430023,1.1651059,1.11460169,0.97565449
3.83333333,1.00803994,1.88233423,1.0393524,1.06774491,1.24710562,1.1880775,1.16980423,1.1219438,0.932520421
3.85,1.0364372,1.6474868,1.07943856,1.06729079,1.19527962,1.22185256,1.20030148,1.11194438,0.908234305
3.86666667,0.99575126,1.46677301,1.01968568,1.04205762,1.09949868,1.25469276,1.17108786,1.03944703,0.90420752
3.88333333,0.987222394,1.31561883,1.0341609,1.11005339,1.04347513,1.32253685,1.11101691,1.02843398,0.886453396
3.9,1.0182506,1.07823244,1.02504197,1.05850868,0.971000073,1.34260815,1.01966386,0.950629301,0.883855065
3.91666667,0.967230726,0.888506066,1.02196664,1.06125303,0.98550816,1.3556512,0.960906819,0.915888336,0.866201712
3.93333333,0.969554744,0.756244323,0.984237832,1.09106019,0.978698556,1.29062299,0.860914063,0.877587584,0.869852642
3.95,1.06554072,0.646687924,0.965170418,1.05879926,1.01913094,1.25957767,0.803815293,0.851261081,0.91936434
3.96666667,1.06296094,0.593599115,0.940032565,1.00289015,1.0135827,1.21753241,0.737345628,0.814945257,0.90625865
3.98333333,1.06117475,0.528139323,0.914134862,1.00964105,0.901960901,1.16126472,0.765034196,0.821317659,0.970930884
4,1.00313101,0.50562243,0.88437389,1.03874472,0.797761827,1.04917826,0.760697642,0.8329535,1.01091105
4.01666667,1.02504016,0.503294567,0.821547568,1.02890269,0.795540702,0.987116316,0.758989144,0.835070985,1.03499231
4.03333333,0.963567031,0.512052597,0.82678677,1.03947292,0.882636471,0.889330665,0.766105008,0.897757989,1.06270127
4.05,0.972418606,0.496263308,0.780090775,1.0248386,0.967699417,0.869607215,0.82557647,0.900914782,1.0677765
4.06666667,1.03551418,0.518204861,0.757493405,1.05152655,0.924986211,0.796428158,0.901965386,0.967205838,1.05818651
4.08333333,0.994091815,0.489993373,0.75186764,1.0201698,0.863699371,0.795770821,0.941819478,0.984406834,1.07078353
4.1,0.962974311,0.481258741,0.766588243,1.0529394,0.884752359,0.795648641,1.0275407,1.02725529,1.07977389
4.11666667,1.00829998,0.500382686,0.775413745,1.00253559,0.879551257,0.790311916,1.06622448,1.03102402,1.04516297
4.13333333,0.9621384,0.510988604,0.794182455,1.02548916,0.850660602,0.809152628,1.06956645,1.03310234,1.02791607
4.15,1.01829624,0.601535689,0.839545609,1.03991353,0.828504119,0.839762241,1.10158312,1.03907295,1.03966996
4.16666667,1.0152062,0.658940725,0.904580785,1.01548295,0.865089485,0.843724139,1.07705493,1.03470427,0.977844553
4.18333333,0.992847458,0.765698334,0.941282696,1.00169342,0.859018697,0.921933001,1.08356889,1.02232028,0.921551593
4.2,1.04379891,0.828794084,1.00159649,0.972784302,0.881361595,0.9684324,1.01488566,1.0062347,0.934842274
4.21666667,1.01025476,0.981982059,1.04559044,0.991543167,0.86459222,0.937878752,1.0081806,0.968129827,0.933568587
4.23333333,1.04137599,1.06856687,1.06299096,0.970917157,0.809630588,0.933350068,0.994057863,0.968130871,0.964923842
4.25,1.02422776,1.17425028,1.08511992,1.020341,0.720770055,0.960133121,0.969360241,0.939665538,0.96285478
4.26666667,0.983282434,1.23485722,1.10886888,1.0134838,0.678356093,0.93281053,0.949595016,0.986021884,1.00483763
4.28333333,1.01379905,1.24161756,1.09431035,1.01651306,0.699825716,0.912948678,0.968462417,0.945908292,0.984178119
4.3,0.993786573,1.29799257,1.14779366,0.985933525,0.772219983,0.924663997,0.944694628,0.993902285,1.03549419
4.31666667,1.01765661,1.21553946,1.13626419,0.99282472,0.852337545,0.943376656,0.985116787,0.999658791,1.00878085
4.33333333,1.00052396,1.18756818,1.13456041,1.01076431,0.949790927,0.924299685,0.98766192,0.995130755,1.01108397
4.35,0.989568843,1.13673645,1.07375668,1.03844125,1.03874878,0.892519842,1.03784791,1.01514446,0.997119056
4.36666667,0.98858491,1.04836039,1.07272724,0.994342826,0.988037712,0.867024433,1.04620786,1.04793532,1.01623909
4.38333333,1.00580367,0.976386431,1.08942545,0.991479825,0.879145731,0.889839916,1.03344798,1.04897122,0.995514085
4.4,0.976245767,0.963838318,1.04573524,1.04183381,0.842773284,0.900807188,1.04667721,1.03845688,1.04524353
4.41666667,1.01118468,0.948375632,1.06838303,1.0129677,0.81127638,0.917754462,1.07296817,1.05626614,1.04051334
4.43333333,0.993420208,0.956013262,1.0543522,1.01401513,0.850787353,0.936070748,1.06138269,1.05967138,1.07326405
4.45,1.02576076,1.01451349,1.02971287,1.0271381,0.948044259,0.946839983,1.07168259,1.05473265,1.07048013
4.46666667,0.985540273,1.02399821,1.03730737,1.00595419,1.01403869,0.988052818,1.03423002,1.03502907,1.05375855
4.48333333,1.00932076,1.04027915,1.06217336,1.01042896,1.08301686,0.988090737,1.01872385,1.0343583,1.05039728
4.5,0.973462921,1.04443945,1.03972965,1.01925439,1.12555694,1.01713589,1.06857566,1.05656465,1.05800489
4.51666667,0.973644843,1.02400078,1.03363023,1.053412,1.13923169,1.02144394,1.05162657,1.05323778,1.03680027
4.53333333,0.994478058,1.00918637,1.06696188,1.03205607,1.12582084,1.03422157,1.04999058,1.05612417,1.02184595
4.55,1.01316907,0.975239899,1.0699181,0.98007021,1.08272764,1.04700854,1.03023673,1.04818162,1.01801917
4.56666667,0.976416752,0.933609506,1.04708345,1.0227987,1.09745761,1.03738215,1.02717038,1.05340431,0.986626155
4.58333333,0.998485668,0.912551048,1.04510799,0.989668038,1.13844136,1.04902462,0.987096909,1.03602009,1.00079549
4.6,0.975904115,0.896971182,1.06590383,1.01748101,1.18950358,1.03356036,1.01058749,1.02938556,1.01384225
4.61666667,0.974148953,0.852502849,1.04222679,1.00170258,1.2302836,1.07759065,0.971808215,1.05161046,0.998789331
4.63333333,0.986950537,0.849641458,1.06374976,0.99823555,1.24913386,1.09982785,1.02478077,1.03474225,0.993813972
4.65,0.989137993,0.863910837,1.06097301,0.959643997,1.24717642,1.1257872,1.00031909,1.02502564,0.991938287
4.66666667,0.971179664,0.87565915,1.05883488,0.984485169,1.24933037,1.11329599,1.00126487,1.02961413,0.987248238
4.68333333,1.00417303,0.893601511,1.06271013,0.980226148,1.29120785,1.13493642,0.992884683,0.993907527,1.01915956
4.7,0.975560787,0.921679702,1.02823073,0.960611163,1.28804558,1.18285887,0.996753502,0.970409474,1.00916834
4.71666667,0.93159457,0.911581597,1.01791216,0.944844437,1.29613323,1.17784381,1.01469371,1.01280421,1.00522945
4.73333333,0.968006104,0.91097571,1.02374082,0.940434014,1.25038791,1.17059693,1.0218185,0.965716668,0.981109224
4.75,0.995020234,0.922765781,0.977284503,0.965314059,1.22887579,1.16034474,1.03374303,0.989573589,0.983226067
4.76666667,0.990274833,0.906201464,0.99646933,0.978820814,1.19683801,1.1255525,1.01593135,0.987867005,0.95954645
4.78333333,1.0178045,0.87891881,0.970068482,0.969826375,1.17098862,1.1177226,1.01574357,0.967883196,0.96462249
4.8,0.964090407,0.876298016,0.903960755,0.968745504,1.12499568,1.08767015,1.00387956,0.950717346,0.970628668
4.81666667,0.935878446,0.901709163,0.873029596,0.976707917,1.09079259,1.09452355,1.02508067,0.967464125,0.998486934
4.83333333,0.959934848,0.907486883,0.863905914,1.00080393,1.05158194,1.06816154,1.00712373,0.978120502,0.970209531
4.85,1.06813316,0.884255665,0.851408518,0.954400947,1.00807084,1.04607172,1.02206029,0.944162963,0.957135886
4.86666667,1.01227432,0.895520357,0.829465903,0.963074933,0.941430026,1.004712,1.04400132,0.956323137,0.97329565
4.88333333,1.00642476,0.877676535,0.819620281,0.970769794,0.90257516,0.995730093,1.01825002,0.974966916,0.971806216
4.9,0.999069361,0.940853647,0.828063425,0.957513296,0.886229737,0.979905459,0.961009211,0.966073995,0.973850766
4.91666667,1.01144005,0.953101051,0.831672602,1.00811947,0.877890028,0.958909761,0.95986733,0.93922782,0.990675189
4.93333333,1.02516188,0.920375617,0.84492598,0.96064205,0.877395151,0.963474468,0.933799835,0.952315998,0.969069087
4.95,1.01980052,0.945613462,0.870411455,0.959489534,0.852630653,0.975135901,0.926577497,0.957415498,0.994703677
4.96666667,1.04286521,0.938466947,0.905671058,1.00332859,0.817278648,0.971229834,0.888088806,0.947868143,1.03106375
4.98333333,1.02231066,1.00830626,0.919025037,0.993809846,0.787508204,0.923358056,0.918324608,0.948493874,1.04773161
5,0.502003271,0.506797688,0.467817838,0.512397662,0.373586221,0.513883498,0.461291457,0.48345419,0.509813115
